FinancialyearID,GroupingName,RegionName,DistrictName,MuncipalityName,GMName,Date,TotalAssesments,TotalDemand,TotalCollection,TotalBal,%Collection
2020-2021,Corporation,NAGERCOIL ,KANYAKUMARI,NAGERCOIL ,WaterSupply,2021-04-01T04:05:05.38,41257.0,50890470.0,25285166.0,25605304.0,49.69
2020-2021,Corporation,NAMAKKAL ,NAMAKKAL,NAMAKKAL ,NonTax,2021-04-01T04:05:14.22,316.0,35826027.0,29225777.0,6600250.0,81.58
2020-2021,Corporation,NAMAKKAL ,NAMAKKAL,NAMAKKAL ,ProfessionTax,2021-04-01T04:05:16.76,4015.0,27900514.0,12593621.0,15306893.0,45.14
2020-2021,Corporation,NAMAKKAL ,NAMAKKAL,NAMAKKAL ,PropertyTax,2021-04-01T04:04:53.097,53075.0,94870515.0,54627208.0,40243307.0,57.58
2020-2021,Corporation,NAMAKKAL ,NAMAKKAL,NAMAKKAL ,SUC Charges,2021-04-01T04:05:42.227,52682.0,20080577.0,15399181.0,4681396.0,76.69
2020-2021,Corporation,NAMAKKAL ,NAMAKKAL,NAMAKKAL ,UGD,2021-04-01T11:21:12.87,9399.0,16504822.0,7381390.0,9123432.0,44.72
2020-2021,Corporation,NAMAKKAL ,NAMAKKAL,NAMAKKAL ,VLTTax,2021-04-01T04:04:54.967,7620.0,19913602.0,8716646.0,11196956.0,43.77
2020-2021,Corporation,NAMAKKAL ,NAMAKKAL,NAMAKKAL ,WaterSupply,2021-04-01T04:05:10.96,23422.0,70590461.0,46579274.0,24011187.0,65.99
2020-2021,Corporation,PUDUKKOTTAI  ,PUDUKKOTTAI,PUDUKKOTTAI  ,NonTax,2021-04-01T04:05:13.13,870.0,74190369.0,23349688.0,50840681.0,31.47
2020-2021,Corporation,PUDUKKOTTAI  ,PUDUKKOTTAI,PUDUKKOTTAI  ,ProfessionTax,2021-04-01T04:05:16.76,4080.0,24499447.0,13758531.0,10740916.0,56.16
2020-2021,Corporation,PUDUKKOTTAI  ,PUDUKKOTTAI,PUDUKKOTTAI  ,PropertyTax,2021-04-01T04:04:53.097,35890.0,109173192.0,64414004.0,44759188.0,59.0
2020-2021,Corporation,PUDUKKOTTAI  ,PUDUKKOTTAI,PUDUKKOTTAI  ,SUC Charges,2021-04-01T04:05:47.913,35166.0,22767950.0,13029595.0,9738355.0,57.23
2020-2021,Corporation,PUDUKKOTTAI  ,PUDUKKOTTAI,PUDUKKOTTAI  ,UGD,2021-04-01T11:21:12.87,8253.0,17059830.0,3322665.0,13737165.0,19.48
2020-2021,Corporation,PUDUKKOTTAI  ,PUDUKKOTTAI,PUDUKKOTTAI  ,VLTTax,2021-04-01T04:04:54.967,2151.0,12979954.0,7764657.0,5215297.0,59.82
2020-2021,Corporation,PUDUKKOTTAI  ,PUDUKKOTTAI,PUDUKKOTTAI  ,WaterSupply,2021-04-01T04:05:05.38,19537.0,62241120.0,17627631.0,44613489.0,28.32
2020-2021,Corporation,SALEM ,SALEM,SALEM ,NonTax,2021-04-01T04:05:14.22,1211.0,525355450.0,71279935.0,454075515.0,13.57
2020-2021,Corporation,SALEM ,SALEM,SALEM ,ProfessionTax,2021-04-01T04:05:16.76,21379.0,185415742.5,90397323.0,95018419.5,48.75
2020-2021,Corporation,SALEM ,SALEM,SALEM ,PropertyTax,2021-04-01T04:04:53.097,204166.0,798689259.79,368281084.36,430408175.43,46.11
2020-2021,Corporation,SALEM ,SALEM,SALEM ,SUC Charges,2021-04-01T04:05:47.913,193932.0,98184883.0,59689062.0,38495821.0,60.79
2020-2021,Corporation,SALEM ,SALEM,SALEM ,UGD,2021-04-01T11:21:12.87,2732.0,5879060.0,79010.0,5800050.0,1.34
2020-2021,Corporation,SALEM ,SALEM,SALEM ,VLTTax,2021-04-01T04:04:54.967,13749.0,54132457.0,18906295.0,35226162.0,34.93
2020-2021,Corporation,SALEM ,SALEM,SALEM ,WaterSupply,2021-04-01T04:05:05.38,113902.0,532897356.36,228039326.0,304858030.36,42.79
2020-2021,Corporation,SIVAKASI ,VIRUDHUNAGAR,SIVAKASI ,NonTax,2021-04-01T04:05:12.263,323.0,22902325.0,9388232.0,13514093.0,40.99
2020-2021,Corporation,SIVAKASI ,VIRUDHUNAGAR,SIVAKASI ,ProfessionTax,2021-04-01T04:05:16.76,2023.0,13177976.0,5191614.0,7986362.0,39.4
2020-2021,Corporation,SIVAKASI ,VIRUDHUNAGAR,SIVAKASI ,PropertyTax,2021-04-01T04:04:53.097,30513.0,91134654.0,70603006.0,20531648.0,77.47
2020-2021,Corporation,SIVAKASI ,VIRUDHUNAGAR,SIVAKASI ,SUC Charges,2021-04-01T04:05:42.227,27268.0,8695386.0,8344869.0,350517.0,95.97
2020-2021,Corporation,SIVAKASI ,VIRUDHUNAGAR,SIVAKASI ,VLTTax,2021-04-01T04:04:54.967,433.0,1209907.0,798838.0,411069.0,66.02
2020-2021,Corporation,SIVAKASI ,VIRUDHUNAGAR,SIVAKASI ,WaterSupply,2021-04-01T04:05:05.38,13655.0,16044911.0,11320377.0,4724534.0,70.55
2020-2021,Corporation,TAMBARAM ,CHENGALPATTU,TAMBARAM ,NonTax,2021-04-01T04:05:14.22,372.0,65994413.0,19205685.0,46788728.0,29.1
2020-2021,Corporation,TAMBARAM ,CHENGALPATTU,TAMBARAM ,ProfessionTax,2021-04-01T04:05:16.76,3230.0,99362198.0,83632723.0,15729475.0,84.17
2020-2021,Corporation,TAMBARAM ,CHENGALPATTU,TAMBARAM ,PropertyTax,2023-09-08T00:00:00,141719.0,273792308.0,166815837.0,106976471.0,60.93
2020-2021,Corporation,TAMBARAM ,CHENGALPATTU,TAMBARAM ,SUC Charges,2021-04-01T04:05:47.913,41087.0,40216954.0,28079267.0,12137687.0,69.82
2020-2021,Corporation,TAMBARAM ,CHENGALPATTU,TAMBARAM ,UGD,2021-04-01T11:21:12.87,3140.0,8843900.0,242250.0,8601650.0,2.74
2020-2021,Corporation,TAMBARAM ,CHENGALPATTU,TAMBARAM ,VLTTax,2021-04-01T04:04:54.967,2335.0,18127277.0,5154392.0,12972885.0,28.43
2020-2021,Corporation,TAMBARAM ,CHENGALPATTU,TAMBARAM ,WaterSupply,2021-04-01T04:05:05.38,16020.0,47982303.5,16802242.0,31180061.5,35.02
2020-2021,Corporation,THANJAVUR ,THANJAVUR,THANJAVUR ,NonTax,2021-04-01T04:05:14.22,1118.0,65805267.0,29584211.0,36221056.0,44.96
2020-2021,Corporation,THANJAVUR ,THANJAVUR,THANJAVUR ,ProfessionTax,2021-04-01T04:05:16.76,5708.0,62636594.0,27823872.0,34812722.0,44.42
2020-2021,Corporation,THANJAVUR ,THANJAVUR,THANJAVUR ,PropertyTax,2021-04-01T04:04:53.097,48008.0,264833431.7,100308743.0,164524688.7,37.88
